ID;Smokers
1;Y
2;Y
3;Y
4;Y
5;Y
6;Y
7;Y
8;Y
9;Y
10;Y
11;Y
12;Y
13;Y
14;Y
15;Y
16;Y
17;Y
18;Y
19;Y
20;Y
21;Y
22;Y
23;Y
24;Y
25;Y
26;Y
27;Y
28;Y
29;Y
30;Y
31;N
32;N
33;N
34;N
35;N
36;N
37;N
38;N
39;N
40;N
41;N
42;N
43;N
44;N
45;N
46;N
47;N
48;N
49;N
50;N
51;N
52;N
53;N
54;N
55;N
56;N
57;N
58;N
59;N
60;N
61;N
62;N
63;N
64;N
65;N
66;N
67;N
68;N
69;N
70;N
71;N
72;N
73;N
74;N
75;N
76;N
77;N
78;N
79;N
80;N
81;N
82;N
83;N
84;N
85;N
86;N
87;N
88;N
89;N
90;N
91;N
92;N
93;N
94;N
95;N
96;N
97;N
98;N
99;N
100;N
