ID;homeoffice
1;yes
2;yes
3;yes
4;yes
5;yes
6;yes
7;yes
8;yes
9;yes
10;yes
11;yes
12;yes
13;yes
14;yes
15;yes
16;yes
17;yes
18;yes
19;yes
20;yes
21;yes
22;yes
23;yes
24;yes
25;yes
26;yes
27;yes
28;yes
29;yes
30;yes
31;yes
32;yes
33;yes
34;yes
35;yes
36;yes
37;yes
38;yes
39;yes
40;yes
41;yes
42;yes
43;yes
44;yes
45;yes
46;yes
47;yes
48;yes
49;yes
50;yes
51;yes
52;yes
53;yes
54;yes
55;yes
56;yes
57;yes
58;yes
59;yes
60;yes
61;yes
62;yes
63;yes
64;yes
65;yes
66;yes
67;yes
68;yes
69;yes
70;yes
71;yes
72;yes
73;yes
74;yes
75;yes
76;yes
77;yes
78;yes
79;yes
80;yes
81;yes
82;yes
83;yes
84;yes
85;yes
86;yes
87;yes
88;yes
89;yes
90;yes
91;yes
92;yes
93;yes
94;yes
95;yes
96;yes
97;yes
98;yes
99;yes
100;yes
101;yes
102;yes
103;yes
104;yes
105;yes
106;yes
107;yes
108;yes
109;yes
110;yes
111;yes
112;yes
113;yes
114;yes
115;yes
116;yes
117;yes
118;yes
119;yes
120;yes
121;yes
122;yes
123;yes
124;yes
125;yes
126;yes
127;yes
128;yes
129;yes
130;yes
131;yes
132;yes
133;yes
134;yes
135;yes
136;yes
137;yes
138;no
139;no
140;no
141;no
142;no
143;no
144;no
145;no
146;no
147;no
148;no
149;no
150;no
151;no
152;no
153;no
154;no
155;no
156;no
157;no
158;no
159;no
160;no
161;no
162;no
163;no
164;no
165;no
166;no
167;no
168;no
169;no
170;no
171;no
172;no
173;no
174;no
175;no
176;no
177;no
178;no
179;no
180;no
181;no
182;no
183;no
184;no
185;no
186;no
187;no
188;no
189;no
190;no
191;no
192;no
193;no
194;no
195;no
196;no
197;no
198;no
199;no
200;no
201;no
202;no
203;no
204;no
205;no
206;no
207;no
208;no
209;no
210;no
211;no
212;no
213;no
214;no
215;no
216;no
217;no
218;no
219;no
220;no
221;no
222;no
223;no
224;no
225;no
226;no
227;no
228;no
229;no
230;no
231;no
232;no
233;no
234;no
235;no
236;no
237;no
238;no
239;no
240;no
241;no
242;no
243;no
244;no
245;no
246;no
247;no
248;no
249;no
250;no
