ID;capacity;group
1;1743;new
2;1761;new
3;1756;new
4;1759;new
5;1777;new
6;1780;new
7;1763;new
8;1758;new
9;1766;new
10;1772;new
11;1752;new
12;1776;new
13;1745;new
14;1778;new
15;1792;new
16;1775;new
17;1767;new
18;1742;new
19;1752;new
20;1745;new
21;1743;new
22;1761;new
23;1741;new
24;1762;new
25;1743;new
26;1743;new
27;1749;new
28;1778;new
29;1753;new
30;1780;new
31;1736;new
32;1759;new
33;1755;new
34;1751;new
35;1744;new
36;1759;new
37;1753;new
38;1768;new
39;1733;new
40;1763;new
41;1757;new
42;1764;new
43;1731;new
44;1790;new
45;1747;new
46;1764;new
47;1752;new
48;1751;new
49;1744;new
50;1747;new
51;1775;new
52;1744;new
53;1753;new
54;1761;new
55;1772;new
56;1770;new
57;1757;new
58;1752;new
59;1741;new
60;1746;new
61;1764;new
62;1744;new
63;1765;new
64;1752;new
65;1766;new
66;1753;new
67;1776;new
68;1783;new
69;1722;new
70;1771;new
71;1769;new
72;1779;new
73;1758;new
74;1751;new
75;1774;new
76;1757;new
77;1762;new
78;1766;new
79;1752;new
80;1761;new
81;1753;new
82;1776;new
83;1762;new
84;1745;new
85;1755;new
86;1769;new
87;1777;new
88;1729;new
89;1783;new
90;1744;new
91;1758;new
92;1763;new
93;1725;new
94;1777;new
95;1750;new
96;1749;new
97;1755;new
98;1744;new
99;1789;new
100;1762;new
101;1762;old
102;1749;old
103;1737;old
104;1725;old
105;1734;old
106;1725;old
107;1717;old
108;1766;old
109;1731;old
110;1756;old
111;1754;old
112;1744;old
113;1728;old
114;1767;old
115;1755;old
116;1752;old
117;1750;old
118;1722;old
119;1694;old
120;1770;old
121;1703;old
122;1784;old
123;1748;old
124;1722;old
125;1738;old
126;1749;old
127;1752;old
128;1729;old
129;1729;old
130;1743;old
131;1756;old
132;1733;old
133;1731;old
134;1723;old
135;1754;old
136;1742;old
137;1749;old
138;1772;old
139;1772;old
140;1766;old
141;1708;old
142;1733;old
143;1759;old
144;1728;old
145;1767;old
146;1766;old
147;1740;old
148;1720;old
149;1727;old
150;1720;old
151;1761;old
152;1713;old
153;1717;old
154;1745;old
155;1727;old
156;1748;old
157;1760;old
158;1737;old
159;1771;old
160;1774;old
161;1732;old
162;1706;old
163;1771;old
164;1712;old
165;1750;old
166;1776;old
167;1742;old
168;1719;old
169;1729;old
170;1718;old
171;1744;old
172;1762;old
173;1726;old
174;1747;old
175;1759;old
176;1736;old
177;1744;old
178;1751;old
179;1714;old
180;1730;old
181;1737;old
182;1753;old
183;1761;old
184;1774;old
185;1726;old
186;1776;old
187;1773;old
188;1786;old
189;1754;old
190;1770;old
191;1724;old
192;1758;old
193;1698;old
194;1747;old
195;1754;old
196;1723;old
197;1790;old
198;1741;old
199;1711;old
200;1717;old
