ID;capacity;group
1;1736;new
2;1769;new
3;1774;new
4;1770;new
5;1737;new
6;1759;new
7;1750;new
8;1736;new
9;1757;new
10;1769;new
11;1740;new
12;1772;new
13;1772;new
14;1744;new
15;1752;new
16;1752;new
17;1755;new
18;1749;new
19;1750;new
20;1772;new
21;1754;new
22;1743;new
23;1745;new
24;1750;new
25;1745;new
26;1750;new
27;1763;new
28;1746;new
29;1750;new
30;1750;new
31;1746;new
32;1752;new
33;1751;new
34;1749;new
35;1747;new
36;1737;new
37;1737;new
38;1753;new
39;1740;new
40;1752;new
41;1752;new
42;1743;new
43;1762;new
44;1756;new
45;1772;new
46;1759;new
47;1752;new
48;1746;new
49;1736;new
50;1738;new
51;1745;new
52;1738;new
53;1736;new
54;1730;new
55;1754;new
56;1746;new
57;1750;new
58;1768;new
59;1746;new
60;1751;new
61;1736;new
62;1754;new
63;1761;new
64;1750;new
65;1739;new
66;1759;new
67;1752;new
68;1755;new
69;1731;new
70;1753;new
71;1772;new
72;1764;new
73;1744;new
74;1744;new
75;1747;new
76;1754;new
77;1772;new
78;1742;new
79;1751;new
80;1759;new
81;1738;new
82;1741;new
83;1745;new
84;1763;new
85;1750;new
86;1752;new
87;1758;new
88;1745;new
89;1759;new
90;1739;new
91;1750;new
92;1732;new
93;1752;new
94;1746;new
95;1754;new
96;1733;new
97;1736;new
98;1765;new
99;1737;new
100;1762;new
101;1712;old
102;1754;old
103;1740;old
104;1759;old
105;1761;old
106;1738;old
107;1743;old
108;1749;old
109;1773;old
110;1754;old
111;1748;old
112;1753;old
113;1750;old
114;1739;old
115;1760;old
116;1727;old
117;1770;old
118;1726;old
119;1750;old
120;1730;old
121;1774;old
122;1759;old
123;1730;old
124;1759;old
125;1775;old
126;1739;old
127;1732;old
128;1713;old
129;1739;old
130;1782;old
131;1743;old
132;1755;old
133;1747;old
134;1739;old
135;1748;old
136;1755;old
137;1768;old
138;1717;old
139;1751;old
140;1735;old
141;1728;old
142;1758;old
143;1751;old
144;1737;old
145;1748;old
146;1721;old
147;1722;old
148;1758;old
149;1742;old
150;1755;old
151;1788;old
152;1750;old
153;1772;old
154;1747;old
155;1756;old
156;1753;old
157;1731;old
158;1740;old
159;1776;old
160;1750;old
161;1727;old
162;1773;old
163;1761;old
164;1768;old
165;1772;old
166;1716;old
167;1746;old
168;1758;old
169;1747;old
170;1782;old
171;1780;old
172;1751;old
173;1746;old
174;1766;old
175;1747;old
176;1787;old
177;1788;old
178;1738;old
179;1754;old
180;1785;old
181;1746;old
182;1745;old
183;1748;old
184;1730;old
185;1744;old
186;1744;old
187;1781;old
188;1752;old
189;1774;old
190;1719;old
191;1742;old
192;1729;old
193;1731;old
194;1776;old
195;1722;old
196;1722;old
197;1766;old
198;1742;old
199;1765;old
200;1729;old
